Time	MU_1	MU_2	MU_3	MU_4	MU_5	MU_6	MU_7	MU_8	MU_9	MU_10	MU_11	MU_12	MU_13	MU_14	MU_15	MU_16	MU_17	MU_18	MU_19	MU_20	MU_21	MU_22	MU_23	MU_24	MU_25	MU_26
16.45	22.9850539256346	21.0651915470326	20.6666414184218	20.3964236916275	17.9985611841893	17.7683007816893	18.0247348659281	17.7760562265778	18.0898266094839	21.1802048174971	19.9762372788978	17.6157855292967	15.9909147545095	17.6297119156479	12.2950255157346	12.4618360343164	12.8580505700275	11.6121863929491	12.111878416093	10.6202204644311	6.57929790685846	6.92012239515498	6.0334067689442	5.15535869864464	5.41278190917946	1.3636320102934
16.46	23.0189733333042	21.0995073384405	20.7146051854218	20.4252904170224	18.0026202981636	17.73438487821	18.0330396466757	17.7652062422222	18.1104146829273	21.224483162277	19.9678499263994	17.6060624276388	16.0476920412974	17.5681824398192	12.3414198424578	12.5096081075223	12.9012512538182	11.6519422867429	12.1063304885263	10.599256400562	6.56014501987028	6.90311098619782	6.06538051666509	5.14140086604037	5.39792507693937	1.40208179780721
16.47	23.0538817858142	21.1322647170771	20.7652779749085	20.456306936118	18.0066177699857	17.701323818897	18.0411493092931	17.7553136759167	18.1344875751645	21.2692523549178	19.9587278740063	17.5967786366334	16.1041496853554	17.5043197856934	12.3899401794705	12.5593117086517	12.94492697344	11.6930180226822	12.0964496622734	10.5835974577119	6.54037565106006	6.89035289200037	6.093285232863	5.12688155458296	5.38149357972747	1.44290591303889
16.48	23.0887875346141	21.1615780517202	20.8171241685541	20.4866333506268	18.0111705134766	17.6706523911004	18.0494962771153	17.7463656014714	18.161986430394	21.3128706498072	19.9469449246656	17.5891977251417	16.1605943604307	17.4393816732758	12.4424714146296	12.610754015893	12.9887606598906	11.7353687010034	12.0821928299905	10.5736221096562	6.51837274866981	6.8820326669816	6.11951615843801	5.11186431237207	5.36355986046001	1.48590858904329
16.49	23.123304072462	21.189727868871	20.8696791153596	20.5149537525956	18.0190516180233	17.6450298637812	18.0608495308555	17.7384267976121	18.1927861559085	21.3552700227028	19.9348723839703	17.5832243508533	16.2194419947669	17.3762145793012	12.5008108390637	12.6637324923976	13.0348215271279	11.7787222849064	12.0656648917203	10.568438979964	6.49437900359324	6.87806157119183	6.14538591111871	5.0964007013969	5.34417132309363	1.53097561804736
16.5	23.1573501733971	21.2171673797193	20.922698291815	20.54169170756	18.0288651985975	17.6247192560373	18.0741030447445	17.7312691526969	18.2265376049412	21.3963318434701	19.9230524066605	17.5779026688486	16.280801106444	17.3129516714429	12.5620910685228	12.7180404893556	13.0847154097511	11.8249725536278	12.0489248744282	10.5653435877291	6.46840282525081	6.87885224244466	6.17062184256036	5.0805603451113	5.32373799714291	1.57784634073257
16.51	23.190616506468	21.2437297469852	20.976388884631	20.5695921258139	18.0384457228991	17.6099550533182	18.0869997341487	17.7250594057242	18.2632205454581	21.4347250501941	19.9116115029913	17.5703910099907	16.3413353786716	17.2483701198624	12.6250259959892	12.7733234541603	13.1382592579098	11.8758441089789	12.0319997046818	10.5639552270702	6.44059120641547	6.88623097201296	6.19522310690744	5.06440538630872	5.30499892628469	1.62638915260546
16.52	23.2208411489198	21.2672854265416	21.0310555942725	20.5980980264266	18.0479789000503	17.5995032070562	18.0995931677962	17.719954250205	18.302813512798	21.4679058487971	19.898686857316	17.5618055528396	16.4018125768259	17.1827988855555	12.6894717879062	12.8276023589661	13.1935557016206	11.9286065413004	12.0140955898579	10.5642643605143	6.41102409323387	6.8986509011782	6.21902945568356	5.04796861179589	5.28910809564795	1.67417425938417
16.53	23.2491535073874	21.2858251881207	21.0856497814698	20.6244295906397	18.0573680429592	17.5908517459241	18.1118025041055	17.7159443647633	18.3451809383463	21.4982219755257	19.882208654994	17.5547308267943	16.4644856740476	17.1172710859915	12.7551237079668	12.8818436998396	13.2480643310704	11.9815586158165	11.992596198631	10.5663313364455	6.38005738678868	6.91530851648567	6.24198815354363	5.0319069495079	5.27597170102526	1.71920344570863
16.54	23.2766973864945	21.3019516738503	21.1399345387819	20.6482801305322	18.0691424485823	17.5837720334018	18.1235190474431	17.7130384335572	18.3900702471204	21.5266653445121	19.8622392603444	17.5494144141074	16.5293069028624	17.0548960702105	12.8217588598274	12.9366830059455	13.3016572832824	12.0346579413949	11.9697375955335	10.5700491876891	6.35039467067527	6.93630397308167	6.26398247106575	5.01919753714523	5.26573080814073	1.76145869216688
16.55	23.3037709782226	21.316909498593	21.1958120373579	20.6695642199332	18.0843157034104	17.5787267997412	18.1360630732872	17.711871248079	18.4377392506931	21.5526949936505	19.8400109686436	17.5459178948854	16.5955291188665	16.9962055865028	12.8890928817891	12.991702057253	13.3540249866058	12.0875455730045	11.9471038628037	10.5755173851041	6.32341340752686	6.96147159063467	6.28494691171095	5.00917754439112	5.25836455716599	1.80066628251609
16.56	23.3298293371634	21.3306364950558	21.2550178432578	20.6859903018506	18.0999188338468	17.5776306030142	18.1490119537962	17.7153453003338	18.4881985266857	21.5735538515483	19.8183816800689	17.5438571698748	16.6601200649788	16.9415875878765	12.9568718398083	13.0468040410147	13.4050110703635	12.1402082226756	11.9246237705096	10.5805630461981	6.29903915849475	6.99075426124021	6.30477847276315	4.99925315341286	5.2539716464216	1.83673712001235
16.57	23.3545667296164	21.3412665307766	21.3155960938984	20.6956680254464	18.115113958641	17.5788276376184	18.1612401219774	17.7222374996271	18.5406698562893	21.5881083875641	19.7958659603364	17.5406103422011	16.7220351623141	16.8895689966916	13.0248057423355	13.1016694674972	13.4543900225589	12.1912457018183	11.9024689780751	10.5832588723006	6.27747423864959	7.0240130618468	6.32341662146315	4.989364178828	5.25208973409993	1.86948745336429
16.58	23.377878282665	21.3465224160731	21.3749098421663	20.6987056613577	18.1298103610048	17.5815784359008	18.1728912210707	17.7302187461212	18.5949432746089	21.5964199403235	19.7702836490451	17.535094571248	16.7811352176431	16.8380471009826	13.0926682524227	13.156193753884	13.50197477483	12.2378609341544	11.8806927155557	10.5836853194252	6.25873329531765	7.06112845044638	6.34077276743569	4.97948734380464	5.25001238554244	1.89881416814791
16.59	23.3996088658354	21.3465603092288	21.4329295140181	20.6949916244027	18.144093522647	17.5860386015044	18.1838401401128	17.739294377558	18.6508730273441	21.5984338866885	19.741654425674	17.5275788894539	16.8371208048721	16.787162898331	13.1601223820918	13.2100268150712	13.5475883596064	12.2795523054935	11.859372616128	10.5817940541039	6.24294492159051	7.10195195891538	6.35679201821625	4.96971286416495	5.2468642715198	1.92458637853378
16.6	23.4171060506533	21.3413077904833	21.488108459593	20.6849359428936	18.1565795294656	17.5921061110674	18.1940676008465	17.7494438364513	18.707244137888	21.5940920509081	19.7101444754234	17.517118185949	16.8898544174595	16.7371740622633	13.2270153537873	13.2630270258583	13.591017759171	12.3162425037164	11.838657041099	10.5777238018375	6.23012994905775	7.14632211114756	6.37140043331691	4.96004602204212	5.24278295007112	1.94671067780703
16.61	23.4301038248933	21.3330878652964	21.5387416503306	20.6711969821586	18.1645823977775	17.5998008233597	18.2035228494841	17.7601848716429	18.7609898091732	21.5843332526024	19.6757194669142	17.5009480708034	16.9389828999987	16.6881261165552	13.2930391305552	13.3123783054126	13.6324565574635	12.3476713604637	11.8169498653159	10.5738275448543	6.22037409458342	7.19406352176433	6.38454784303733	4.95054268955227	5.23771806595088	1.96509197424699
16.62	23.4414420425022	21.3237660472352	21.5869643692032	20.6551343034564	18.1686313759153	17.609199327653	18.2113906353846	17.7706880679384	18.8133068946363	21.5717080159314	19.6393041960955	17.4805370754899	16.9848340321238	16.6422301315561	13.3604711523129	13.3580209235746	13.6744290517632	12.3756039384545	11.7920153174385	10.571774767957	6.21367131448317	7.24498183499893	6.39616930545561	4.94122746794237	5.23172730962412	1.97966464387421
16.63	23.4507866827318	21.3121682254947	21.6328738760875	20.6382973835959	18.1714097529894	17.6201787949344	18.2181325449091	17.7820298803677	18.8663177496326	21.5538602506035	19.6013548270832	17.4582130074206	17.0279732743979	16.6009825365949	13.4283674969046	13.4022799225482	13.7174948394599	12.4021254073456	11.7663098553823	10.5712713726837	6.21010828421517	7.29888684920172	6.40623825244913	4.932147260614	5.22480727869188	1.99036408571108
16.64	23.4599084176517	21.2965347396367	21.6763279209703	20.6194238344691	18.1736171606046	17.6326776038699	18.2240279182657	17.7942745208987	18.9198560639541	21.5318569139554	19.5614830593126	17.4344495492007	17.0670978633234	16.5617391929387	13.4944603650576	13.4448820589612	13.7586636107914	12.426961420012	11.7415791003082	10.5726381739232	6.20962046093902	7.35557183155698	6.41468700140009	4.92333368541057	5.21701097617003	1.99716191012573
